 vert 50
Flux_176, 0.9240,0.9242,0.9244,0.9227,0.9262,0.9396,0.9527,0.9783,0.9840
Flux_177, 0.9689,0.9693,0.9691,0.9685,0.9725,0.9863,0.9998,1.0246,1.0239
Flux_178, 1.0511,1.0513,1.0516,1.0498,1.0537,1.0688,1.0836,1.1125,1.1173
Flux_179, 0.9456,0.9459,0.9461,0.9447,0.9484,0.9621,0.9754,1.0010,1.0054
Flux_180, 0.9628,0.9630,0.9628,0.9623,0.9662,0.9799,0.9931,1.0174,1.0170
Flux_181, 0.9009,0.9009,0.9010,0.9001,0.9038,0.9166,0.9290,0.9519,0.9531
Flux_182, 0.9690,0.9692,0.9694,0.9677,0.9714,0.9854,0.9990,1.0257,1.0314
Flux_183, 0.9699,0.9700,0.9701,0.9691,0.9730,0.9870,1.0005,1.0258,1.0281
Flux_184, 0.9774,0.9778,0.9775,0.9769,0.9809,0.9949,1.0084,1.0328,1.0319
Flux_185, 0.9171,0.9173,0.9173,0.9162,0.9198,0.9329,0.9456,0.9689,0.9697
Flux_186, 0.9146,0.9148,0.9148,0.9140,0.9177,0.9307,0.9432,0.9663,0.9655
Flux_187, 1.0027,1.0030,1.0029,1.0020,1.0060,1.0202,1.0341,1.0595,1.0587
Flux_188, 1.0625,1.0627,1.0628,1.0616,1.0658,1.0810,1.0957,1.1238,1.1266
Flux_189, 1.0392,1.0395,1.0399,1.0374,1.0411,1.0561,1.0708,1.1001,1.1073
Flux_190, 0.9374,0.9377,0.9378,0.9366,0.9403,0.9537,0.9667,0.9918,0.9952
Flux_191, 0.9721,0.9724,0.9724,0.9714,0.9753,0.9893,1.0028,1.0287,1.0311
Flux_192, 1.0942,1.0944,1.0945,1.0929,1.0972,1.1130,1.1284,1.1584,1.1640
Flux_193, 0.9271,0.9274,0.9273,0.9267,0.9306,0.9437,0.9564,0.9796,0.9785
Flux_194, 1.0176,1.0179,1.0182,1.0165,1.0203,1.0346,1.0486,1.0753,1.0762
Flux_195, 1.0123,1.0126,1.0126,1.0113,1.0152,1.0298,1.0440,1.0710,1.0738
Flux_196, 0.9343,0.9346,0.9348,0.9329,0.9363,0.9497,0.9628,0.9885,0.9933
