Index,Type,Name,Data CCQE,MC CCQE,MC Truth
266,Int_t,FittedMichel_reco_micheltrajectory_pdg_sz,1,1,0
267,Int_t,FittedMichel_reco_micheltrajectory_pdg,1,1,0
268,Int_t,FittedMichel_reco_micheltrajectory_trackID_sz,1,1,0
269,Int_t,FittedMichel_reco_micheltrajectory_trackID,1,1,0
270,Int_t,FittedMichel_reco_true_michel_index_sz,1,1,0
271,Int_t,FittedMichel_reco_true_michel_index,1,1,0
272,Int_t,FittedMichel_true_a_pion_in_event_sz,1,1,0
273,Int_t,FittedMichel_true_a_pion_in_event,1,1,0
274,Int_t,FittedMichel_true_michel_pdg_sz,1,1,0
275,Int_t,FittedMichel_true_michel_pdg,1,1,0
276,Int_t,FittedMichel_true_primaryparent_pdg_sz,1,1,0
277,Int_t,FittedMichel_true_primaryparent_pdg,1,1,0
278,Int_t,FittedMichel_true_primaryparent_trackID_sz,1,1,0
279,Int_t,FittedMichel_true_primaryparent_trackID,1,1,0
280,Int_t,FittedMichel_truemichel_E_sz,1,1,0
281,Int_t,FittedMichel_truemichel_E,1,1,0
282,Int_t,FittedMichel_truemichel_z_sz,1,1,0
283,Int_t,FittedMichel_truemichel_z,1,1,0
284,Int_t,all_event_start_vertex_fv_minos_match_sz,1,1,0
285,Int_t,all_event_start_vertex_fv_minos_match,1,1,0
286,Int_t,clusters_found_at_end_proton_prong_sz,1,1,0
287,Int_t,clusters_found_at_end_proton_prong,1,1,0
288,Int_t,detmc_traj_id_vec_sz,1,1,0
289,Int_t,detmc_traj_id_vec,1,1,0
290,Int_t,detmc_traj_npoint_vec_sz,1,1,0
291,Int_t,detmc_traj_npoint_vec,1,1,0
292,Int_t,detmc_traj_pdg_vec_sz,1,1,0
293,Int_t,detmc_traj_pdg_vec,1,1,0
294,Int_t,event_in_time_vertex_types_sz,1,1,0
295,Int_t,event_in_time_vertex_types,1,1,0
296,Int_t,event_track_nhits_sz,1,1,0
297,Int_t,event_track_nhits,1,1,0
298,Int_t,event_vertex_types_sz,1,1,0
299,Int_t,event_vertex_types,1,1,0
300,Int_t,has_michel_bgmodule_sz,1,1,0
301,Int_t,has_michel_bgmodule,1,1,0
302,Int_t,has_michel_category_sz,1,1,0
303,Int_t,has_michel_category,1,1,0
304,Int_t,has_michel_edmodule_sz,1,1,0
305,Int_t,has_michel_edmodule,1,1,0
306,Int_t,has_michel_in_vertex_point_sz,1,1,0
307,Int_t,has_michel_in_vertex_point,1,1,0
308,Int_t,has_michel_matched_pdg_sz,1,1,0
309,Int_t,has_michel_matched_pdg,1,1,0
310,Int_t,has_michel_matched_primary_pdg_sz,1,1,0
311,Int_t,has_michel_matched_primary_pdg,1,1,0
312,Int_t,has_michel_ndigits_sz,1,1,0
313,Int_t,has_michel_ndigits,1,1,0
314,Int_t,has_michel_nmodules_sz,1,1,0
315,Int_t,has_michel_nmodules,1,1,0
316,Int_t,has_michel_nplanes_sz,1,1,0
317,Int_t,has_michel_nplanes,1,1,0
318,Int_t,has_michel_ntracks_sz,1,1,0
319,Int_t,has_michel_ntracks,1,1,0
320,Int_t,has_michel_slice_number_sz,1,1,0
321,Int_t,has_michel_slice_number,1,1,0
322,Int_t,has_michel_vertex_type_sz,1,1,0
323,Int_t,has_michel_vertex_type,1,1,0
